^
$
c	27674518
C	20981894
(	12597241
)	12597241
O	7731889
1	6846662
2	5383482
=	5147101
N	4765390
n	2876690
3	2804728
[C@H]	1156763
[C@@H]	1100760
4	975766
F	940728
-	740424
S	606394
/	505336
Cl	501194
[nH]	330001
s	276480
o	269752
5	263118
[C@]	161445
#	152569
[C@@]	131463
\	113013
[O-]	109310
[N+]	106905
Br	105874
6	65192
P	46208
7	19010
8	7240
9	2854
